Chronological Month,Pink Cab,Yellow Cab
2016-01-01,21018.83,84603.65
2016-02-01,23419.84,105302.33
2016-03-01,27893.78,117491.88
2016-04-01,27357.38,121806.35
2016-05-01,35137.83,133638.34
2016-06-01,39249.44,127772.79
2016-07-01,48469.86,154936.28
2016-08-01,51257.16,156646.52
2016-09-01,63438.63,183306.67
2016-10-01,74035.94,217941.82
2016-11-01,72624.22,211730.01
2016-12-01,79606.76,244801.57
2017-01-01,38661.06,148397.09
2017-02-01,27302.5,120091.99
2017-03-01,34868.64,139956.18
2017-04-01,33507.22,142385.06
2017-05-01,38502.95,146463.89
2017-06-01,47940.07,148996.53
2017-07-01,52470.57,168381.08
2017-08-01,62887.78,190051.3
2017-09-01,80071.62,224358.91
2017-10-01,86046.7,244693.0
2017-11-01,86926.08,251103.37
2017-12-01,96638.33,290000.62
2018-01-01,54060.6,179046.51
2018-02-01,25488.49,110785.34
2018-03-01,34318.5,136112.83
2018-04-01,31015.55,127630.66
2018-05-01,37852.06,141456.82
2018-06-01,46388.44,148001.74
2018-07-01,47365.12,155109.38
2018-08-01,60050.53,185295.09
2018-09-01,73781.18,203866.81
2018-10-01,77843.75,219188.85
2018-11-01,88348.37,252971.65
2018-12-01,85227.33,265094.56
