Chronological Month,Pink Cab,Yellow Cab
2016-01-01,73952.863,836308.1108
2016-02-01,87475.544,1009169.1724
2016-03-01,87801.183,914764.7844
2016-04-01,82591.853,946136.4216
2016-05-01,61550.958,1282773.4132
2016-06-01,71103.252,1250891.9552
2016-07-01,105912.738,1024754.922
2016-08-01,131573.364,850119.9648
2016-09-01,143889.421,1322872.7276
2016-10-01,240114.858,1373258.7652
2016-11-01,285591.891,1440007.0652
2016-12-01,341953.299,1675938.1292
2017-01-01,149917.00400000002,1261753.18
2017-02-01,91900.701,1097924.7836
2017-03-01,117105.3,1243013.358
2017-04-01,91987.847,1220955.4516
2017-05-01,63429.024,1497737.1596
2017-06-01,101300.478,1205511.4588
2017-07-01,117348.38,1040900.5724
2017-08-01,142924.014,1119152.176
2017-09-01,205922.965,1600705.81
2017-10-01,264328.239,1603496.6888
2017-11-01,285396.55,1752380.904
2017-12-01,402094.406,1932446.4252
2018-01-01,164184.735,1260374.4404
2018-02-01,72665.064,868884.7784
2018-03-01,94190.088,993436.706
2018-04-01,71238.395,908450.9844
2018-05-01,43633.932,1203032.9984
2018-06-01,60311.503,1123935.036
2018-07-01,78623.979,795906.1972
2018-08-01,113753.922,886998.7428
2018-09-01,144622.939,1218803.9156
2018-10-01,191993.974,1273756.25
2018-11-01,239337.731,1416933.3272
2018-12-01,285605.927,1566886.3948
