Chronological Month,Pink Cab,Yellow Cab
2016-01-01,305236.77,1952149.76
2016-02-01,344521.86,2398229.53
2016-03-01,394890.37,2466879.72
2016-04-01,383077.51,2555847.12
2016-05-01,447231.76,3046277.53
2016-06-01,503148.7,2936771.84
2016-07-01,638619.18,3071807.43
2016-08-01,694313.53,2917772.91
2016-09-01,841533.75,3742438.88
2016-10-01,1053524.05,4249425.1
2016-11-01,1082887.42,4233360.62
2016-12-01,1219494.33,4910172.74
2017-01-01,574905.08,3220379.44
2017-02-01,392319.35,2683747.64
2017-03-01,500839.5,3091556.07
2017-04-01,461611.96,3100678.69
2017-05-01,487321.41,3431800.94
2017-06-01,628453.34,3173369.77
2017-07-01,694378.19,3263572.01
2017-08-01,834549.54,3629984.53
2017-09-01,1086128.12,4562036.5
2017-10-01,1210870.01,4833594.47
2017-11-01,1241384.45,5067399.6
2017-12-01,1465868.59,5760790.38
2018-01-01,758152.77,3624803.03
2018-02-01,352844.42,2330500.13
2018-03-01,471803.89,2788403.63
2018-04-01,412395.52,2592119.43
2018-05-01,458755.51,3068822.06
2018-06-01,571909.06,3075512.07
2018-07-01,599652.21,2843483.2
2018-08-01,775409.53,3334231.44
2018-09-01,955949.76,3908741.93
2018-10-01,1048239.41,4166490.17
2018-11-01,1212611.5,4755546.08
2018-12-01,1223418.98,5065190.8
