Chronological Month,Pink Cab,Yellow Cab
2016-01-01,927,3719
2016-02-01,1050,4674
2016-03-01,1231,5146
2016-04-01,1240,5360
2016-05-01,1567,5967
2016-06-01,1730,5667
2016-07-01,2125,6814
2016-08-01,2272,6918
2016-09-01,2854,8130
2016-10-01,3334,9697
2016-11-01,3229,9320
2016-12-01,3521,10827
2017-01-01,1734,6454
2017-02-01,1195,5358
2017-03-01,1503,6219
2017-04-01,1487,6372
2017-05-01,1724,6531
2017-06-01,2083,6613
2017-07-01,2359,7438
2017-08-01,2766,8439
2017-09-01,3537,9922
2017-10-01,3807,10852
2017-11-01,3879,11145
2017-12-01,4247,12846
2018-01-01,2396,7944
2018-02-01,1130,4900
2018-03-01,1489,6058
2018-04-01,1356,5619
2018-05-01,1669,6243
2018-06-01,2064,6556
2018-07-01,2106,6834
2018-08-01,2701,8227
2018-09-01,3267,9149
2018-10-01,3435,9727
2018-11-01,3897,11230
2018-12-01,3800,11766
